"Thomas J. Givnish and William Sparks, University of Wisconsin-Madison, Madison, WI",,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe nutrient supply rates 2016 (in-situ burials).,,,,,,,,,,,,,,,,,,,,,,,,
"Shipment 4324, Received 2016-07-06, Tracking # 859903462474/859903462500",,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe supply rate (micro grams/10cm2/burial length),,,,,,,,,,,,,,,,,,,,,,,,
WAL #,Sample ID,Burial Date,Retrieval Date,# Anion,# Cation,Notes,NO3-N,NH4-N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd,,,
152177,pp+7,2016-05-09,2016-06-25,3,3,,3.9,2.0,257.38,205.5,116.27,0.8,35.450000000000003,8.9,1.1,1.0,0.0,76.84,0.41,16.71,0.00,,,
152178,pp-7,2016-05-09,2016-06-25,3,3,,1.4,1.5,418.9,295.62,85.92,1.2,26.93,3.5,1.7,1.0,0.0,41.03,0.38,45.77,0.00,,,
152179,pp+8,2016-05-09,2016-06-25,3,3,,8.9,4.5,364.88,308.47000000000003,83.52,0.7,111.32,10.7,3.6,1.0,0.1,94.68,1.52,38.200000000000003,0.16,,,
152180,pp-8,2016-05-09,2016-06-25,3,3,,2.5,1.3,143.38999999999999,131.49,110.49,0.3,8.41,1.4,1.4,0.5,0.0,51.43,0.47,29.47,0.02,,,
152181,pp+9,2016-05-09,2016-06-25,3,3,,0.5,1.7,219.61,152.72999999999999,58.96,0.5,123.83,4.1,2.6,1.2,0.0,88.07,0.46,18.87,0.00,,,
152182,pp-9,2016-05-09,2016-06-25,3,3,,2.6,2.6,250.07,216.42,72.239999999999995,1.2,43.94,9.3,1.4,1.1,0.0,71.239999999999995,0.66,20.96,0.02,,,
152183,pp+10,2016-05-09,2016-06-25,3,3,,0.0,1.3,298.26,217.14,129.53,1.1,165.67,7.3,2.0,1.3,0.6,107.72,0.76,25.32,0.01,,,
152184,pp-10,2016-05-09,2016-06-25,3,3,,1.0,1.4,319.39,223.25,67.45,1.1,23.8,4.4,0.9,1.1,0.0,78.709999999999994,0.76,28.09,0.06,,,
152185,pp+11,2016-05-09,2016-06-25,3,3,,2.8,6.1,240.38,189.15,79.14,0.5,343.15,5.8,2.2,2.1,1.2,94.06,1.0900000000000001,33.46,0.15,,,
152186,pp-11#1,2016-05-09,2016-06-25,2,3,One anion probe lost,1.4,2.2,225.42,190.64,89.75,0.6,88.64,7.9,1.3,1.4,0.1,111.71,0.86,28.02,0.05,,,
152187,pp-11#2,2016-05-09,2016-06-25,3,3,,0.0,4.4,401.09,299.95999999999998,53.86,1.1,1225.21,12.7,2.0,1.6,4.0,84.41,2.0099999999999998,37.380000000000003,0.00,,,
152188,pp-11#3,2016-05-09,2016-06-25,3,3,,0.7,5.3,302.20999999999998,247.17,138.58000000000001,0.9,133.37,15.1,2.1,1.6,0.2,69.73,0.78,27.68,0.05,,,
152189,pp-11#4,2016-05-09,2016-06-25,3,3,,0.0,12.2,244.02,208.6,110.25,0.8,227.3,9.5,2.3,1.1,1.3,81.13,1.21,43.36,0.03,,,
152190,pp+12,2016-05-10,2016-06-25,3,3,,0.0,14.0,284.87,176.1,111.88,0.8,457.75,14.6,1.2,1.3,2.0,68.89,0.79,32.04,0.00,,,
152191,pp-12#1,2016-05-10,2016-06-25,3,3,,1.8,1.8,172.69,115.29,104.85,1.0,12.87,3.7,1.9,0.4,0.1,23.46,0.59,30.49,0.02,,,
152192,pp-12#2,2016-05-10,2016-06-25,3,3,,1.5,2.0,235.77,164.68,140.41999999999999,1.3,70.86,4.9,2.7,0.5,0.0,50.08,0.40,32.22,0.02,,,
152193,pp+13,2016-05-10,2016-06-25,3,2,One cation probe lost,0.0,18.5,421.67,307.44,101.58,1.4,389.8,9.9,0.8,1.2,1.5,145.07,0.79,29.48,0.12,,,
152194,pp-13#1,2016-05-10,2016-06-25,3,3,,0.9,3.3,85.75,106.26,70.75,0.2,74.59,1.6,4.3,0.4,0.1,66.72,1.1299999999999999,44.36,0.13,,,
152195,pp-13#2,2016-05-10,2016-06-25,3,3,,2.2,3.8,150.66999999999999,121.15,225.55,0.6,36.42,4.1,3.6,0.7,0.1,88.34,0.57999999999999996,38.409999999999997,0.02,,,
